Rec,Inf,UID,Name,Nat,2nd Nat,Age,Position,Club,Division,Wage,Mins,Height,Weight,Loan Expires,Expires,Min WD,Max AP,Max WD,Min AP,NP-xG/90,NP-xG,xGP/90,Clr/90,Int/90,Tck/90,Tck R,Tck W,Blk/90,Hdr %,Hdrs W/90,Poss Won/90,Pres A/90,Poss Lost/90,Pas %,Ps C/90,Pr passes/90,Asts/90,xA/90,Cr C/90,Drb/90,Shot %,Shot/90,ShT/90,xG/90,xG-OP,Gls/90,xG,Sprints/90
- - -,,2000124235,Elicha Ahui,ENG,,20,D/WB (R),Peterborough Sports,Vanarama National League North,â¬650 p/w,4005,"5'11""",72 kg,30/6/2024,30/6/2025,,-,,-,0.1,4.43,-,1.78,2.70,2.45,81%,109,0.58,55%,3.24,12.38,11.24,15.73,83%,29.44,4.2,0.31,0.3,1.57,2.65,42%,1.08,0.45,0.1,-2.43,0.04,4.43,16.07
- - -,Hol,28048861,Jack Sampson,ENG,,31,ST (C),Chorley,Vanarama National League North,â¬700 p/w,3387,"6'2""",78 kg,-,30/6/2026,,-,,-,0.54,20.23,-,0.48,0.93,0.93,73%,35,0.08,55%,8.82,4.25,5.79,5.69,86%,18.44,0.29,0.08,0.06,0.03,0.90,45%,4.65,2.10,0.54,2.77,0.61,20.23,6.03
- - -,,29236904,Finley Craske,ENG,,21,"D/WB (R), M (C)",Torquay,Vanarama National League South,â¬650 p/w,3256,"6'0""",73 kg,-,30/6/2026,,-,,-,0.17,6.29,-,1.66,1.96,1.82,77%,66,0.58,55%,2.90,10.59,7.74,14.1,85%,37.43,4.59,0.17,0.15,0.83,0.97,23%,1.55,0.36,0.17,-2.29,0.11,6.29,14.95
- - -,Hol,28058860,Adam Henley,WAL,ENG,29,D (RL),Chorley,Vanarama National League North,â¬350 p/w,4337,"5'10""",81 kg,-,30/6/2024,,-,,-,0.01,0.71,-,1.87,2.18,2.26,83%,109,0.60,55%,2.82,12.22,6.47,11.25,85%,47.87,6.39,0.08,0.06,0.33,0.56,38%,0.27,0.10,0.01,0.29,0.02,0.71,8.88
- - -,,29142516,Jake Evans,ENG,,26,M (C),Chippenham,Vanarama National League South,â¬170 p/w,2470,"5'9""",75 kg,-,30/6/2024,,-,,-,0.12,3.39,-,1.24,1.71,2.19,81%,60,0.40,55%,2.59,9.22,7.47,11.4,87%,42.38,4.12,0.15,0.11,0.80,1.17,25%,1.17,0.29,0.12,-1.39,0.07,3.39,11.59
- - -,,29163958,Reagan Ogle,AUS,ENG,25,D/WB (R),Scunthorpe,Vanarama National League North,â¬825 p/w,3669,"5'8""",66 kg,-,30/6/2024,,-,,-,0.06,2.62,-,1.57,1.74,2.13,83%,87,0.49,54%,3.29,13.1,6.13,12.9,88%,54.63,7.51,0.17,0.18,0.66,0.81,33%,0.74,0.25,0.06,0.38,0.07,2.62,14.4
- - -,,31036053,Ansu Janneh,ENG,,25,"DM, M (C)",Tonbridge,Vanarama National League South,â¬400 p/w,2556,"6'1""",94 kg,-,30/6/2024,,-,,-,0.09,2.43,-,1.16,1.13,1.69,76%,48,0.39,54%,2.75,14.12,9.4,10.0,89%,42.36,4.15,0.28,0.34,0.11,0.60,21%,1.02,0.21,0.09,-1.43,0.04,2.43,8.13
- - -,,29163923,Lewis Gard,ENG,,24,"DM, M (C)",Tonbridge,Vanarama National League South,â¬550 p/w,3472,"5'8""",72 kg,-,30/6/2025,,-,,-,0.07,2.7,-,1.06,1.32,1.19,71%,46,0.34,54%,2.07,9.64,9.85,12.7,87%,40.8,4.41,0.05,0.1,0.39,0.67,44%,0.88,0.39,0.13,-0.1,0.13,5.1,8.35
- - -,,29085673,Kieran Weledji,SCO,CMR,28,D (R),Scarborough Athletic,Vanarama National League North,â¬350 p/w,3802,"6'2""",93 kg,-,30/6/2024,,-,,-,0.02,1.05,-,2.3,2.67,2.27,77%,96,0.43,54%,2.86,12.81,6.3,11.72,84%,37.21,5.26,0.14,0.19,0.66,1.16,33%,0.43,0.14,0.02,1.95,0.07,1.05,16.5
- - -,,2000224402,Dan Barton,WAL,,18,"DM, M (C)",Slough,Vanarama National League South,â¬675 p/w,2079,"5'11""",73 kg,29/6/2024,30/6/2025,,-,,-,0.04,0.99,-,1.21,1.34,1.99,73%,46,0.48,54%,2.21,16.23,9.39,7.01,88%,44.29,4.07,0.04,0.12,0.09,0.69,17%,0.52,0.09,0.04,-0.99,-,0.99,9.39
- - -,,29240108,Tom Sparrow,WAL,,21,"DM, M (C)",South Shields,Vanarama National League North,"â¬1,400 p/w",4059,"5'11""",75 kg,29/6/2024,30/6/2026,,-,,-,0.05,2.2,-,1.06,1.35,1.0,80%,45,0.42,54%,1.84,7.21,8.51,7.12,91%,57.76,6.41,0.22,0.14,0.35,0.42,24%,0.64,0.16,0.05,-2.2,-,2.2,8.29
- - -,,29236446,Alex Aoraha,IRQ,ENG,21,"DM, M (C)",Braintree,Vanarama National League South,â¬575 p/w,2268,"6'1""",78 kg,29/6/2024,30/6/2025,,-,,-,0.07,1.68,-,0.99,1.03,2.38,86%,60,0.40,53%,2.90,12.22,9.17,7.5,90%,46.87,4.52,0.24,0.15,0.08,0.32,16%,0.75,0.12,0.07,-1.68,-,1.68,9.29
- - -,,2000009603,Ryan Lowe,ENG,,20,"DM, M (C)",Dover,Vanarama National League South,â¬475 p/w,1154,"6'3""",81 kg,30/6/2024,30/6/2025,,-,,-,0.03,0.34,-,0.86,1.09,2.5,84%,32,0.16,53%,2.57,13.1,8.34,8.03,87%,43.91,3.59,0.08,0.27,0.78,0.47,0%,0.16,0.00,0.03,-0.34,-,0.34,8.89
- - -,Ret,5133909,Asa Hall,ENG,,37,"DM, M (C)",Torquay,Vanarama National League South,â¬925 p/w,1705,"6'1""",69 kg,-,30/6/2024,,-,,-,0.06,1.11,-,0.84,1.53,2.32,81%,44,0.16,53%,3.11,17.05,9.71,13.35,88%,40.65,3.22,0.11,0.09,0.16,0.58,50%,0.63,0.32,0.06,-0.11,0.05,1.11,6.81
- - -,Opt,5120074,Anthony Grant,JAM,ENG,36,"DM, M (C)",Welling,Vanarama National League South,â¬575 p/w,3535,"5'10""",71 kg,-,30/6/2024,,-,,-,0.04,1.61,-,1.09,1.40,1.83,77%,72,0.46,53%,2.83,14.31,10.23,11.05,88%,40.33,3.11,0.20,0.16,0.13,0.46,16%,0.48,0.08,0.04,-0.61,0.03,1.61,8.73
- - -,,2000125523,Harry Barbrook,ENG,,19,D (L),Hemel Hempstead,Vanarama National League South,â¬350 p/w,3168,"5'11""",73 kg,29/6/2024,30/6/2024,,-,,-,0.05,1.84,-,1.48,2.22,2.1,84%,74,0.65,53%,2.98,14.2,8.1,13.15,83%,39.38,6.14,0.14,0.08,0.28,1.02,9%,0.31,0.03,0.05,-1.84,-,1.84,11.11
- - -,,28017257,Oscar Gobern,ENG,,33,"DM, M (C)",Hemel Hempstead,Vanarama National League South,â¬400 p/w,2476,"6'3""",69 kg,-,30/6/2025,,-,,-,0.05,1.5,-,0.95,1.45,2.36,72%,65,0.47,53%,2.73,12.39,10.32,11.81,88%,40.53,3.89,0.07,0.11,0.11,0.76,47%,0.55,0.25,0.05,1.5,0.11,1.5,7.92
- - -,,2002081381,Aidan Ireland,SCO,,17,D (R),Warrington,Vanarama National League North,â¬180 p/w,1439,"5'10""",66 kg,-,30/6/2025,,-,,-,0.01,0.1,-,2.94,2.56,1.63,81%,26,0.44,53%,3.06,14.01,7.07,11.82,81%,37.59,6.07,0.31,0.13,0.50,0.31,50%,0.13,0.06,0.01,-0.1,-,0.1,10.69
- - -,,2000066150,Harrison Sodje,ENG,,20,D (L),Slough,Vanarama National League South,â¬700 p/w,3048,"5'11""",73 kg,29/6/2024,30/6/2024,,-,,-,0.02,0.81,-,1.33,2.24,2.33,84%,79,0.62,52%,3.37,9.83,7.26,17.36,87%,39.86,5.2,0.03,0.07,0.35,0.53,22%,0.27,0.06,0.02,0.19,0.03,0.81,10.57
- - -,,2000044791,Ben Watt,ENG,,20,"DM, M (C)",Maidstone,Vanarama National League South,"â¬1,200 p/w",2684,"5'9""",70 kg,29/6/2024,30/6/2025,,-,,-,0.12,3.49,-,1.48,1.04,1.81,76%,54,0.34,52%,1.91,12.81,9.46,7.58,90%,46.21,4.19,0.03,0.13,0.03,0.57,21%,0.94,0.20,0.12,0.51,0.13,3.49,9.86
- - -,,29172267,Tyler Walton,ENG,,25,M/AM (R),Southport,Vanarama National League North,â¬600 p/w,3792,"6'1""",79 kg,-,30/6/2025,,-,,-,0.28,11.91,-,1.38,1.99,2.52,80%,106,0.36,52%,4.70,8.35,12.56,14.1,84%,26.39,2.33,0.33,0.24,1.23,3.58,42%,2.42,1.02,0.28,1.09,0.31,11.91,14.07
- - -,,29138933,Matt Worthington,ENG,,26,M (C),Yeovil,Vanarama National League South,"â¬1,200 p/w",1166,"5'10""",73 kg,-,30/6/2025,,-,,-,0.13,1.7,-,1.0,1.54,1.39,95%,18,0.15,52%,2.62,11.04,8.26,9.57,89%,41.99,3.47,0.23,0.13,0.39,0.54,39%,1.39,0.54,0.13,-0.7,0.08,1.7,13.97
- - -,Inj,61077642,Amadou KassaratÃ©,SEN,ENG,28,"DM, M (C)",Bishop's Stortford,Vanarama National League North,,1230,"5'9""",77 kg,-,-,,-,,-,0.09,1.19,-,1.39,1.61,2.49,94%,34,0.44,51%,2.85,8.41,7.83,6.22,89%,39.51,2.56,0.15,0.15,0.07,1.10,32%,1.83,0.59,0.09,2.81,0.29,1.19,7.17
- - -,Opt,28084830,Jordan Lyden,AUS,,28,"DM, M (C)",Hereford,Vanarama National League North,â¬575 p/w,4123,"6'0""",79 kg,-,30/6/2024,,-,,-,0.04,1.97,-,1.22,1.55,1.51,70%,69,0.41,51%,3.19,9.36,10.54,7.4,87%,41.85,3.62,0.09,0.09,0.11,0.46,26%,0.76,0.20,0.04,1.03,0.07,1.97,8.38
- - -,,29175623,Cameron Green,ENG,,25,D (L),Welling,Vanarama National League South,â¬575 p/w,4135,"5'9""",66 kg,-,30/6/2025,,-,,-,0.06,2.81,-,1.0,2.39,1.7,84%,78,0.52,51%,3.18,6.81,9.32,16.39,83%,27.25,3.79,0.22,0.28,1.72,1.96,38%,0.57,0.22,0.06,-0.81,0.04,2.81,12.3
- - -,,29191775,Tommy Hughes,ENG,IRL,23,M (C),King's Lynn,Vanarama National League North,â¬700 p/w,1497,"5'9""",60 kg,-,30/6/2024,,-,,-,0.15,2.54,-,1.5,1.74,2.34,78%,39,0.30,51%,2.59,8.84,9.86,11.12,82%,36.55,3.91,0.12,0.15,0.54,0.90,42%,1.98,0.84,0.25,3.88,0.48,4.12,9.14
- - -,,2000182804,Ethan Moore,ENG,,19,M/AM (R),Torquay,Vanarama National League South,â¬575 p/w,2178,"6'1""",79 kg,29/6/2024,30/6/2024,,-,,-,0.12,2.95,-,0.99,1.40,2.4,81%,58,0.21,50%,3.22,5.12,10.99,12.31,82%,27.64,3.39,0.29,0.27,0.87,2.52,43%,1.24,0.54,0.12,-0.95,0.08,2.95,12.52
- - -,,94047015,Aaron Jarvis,ENG,,26,ST (C),Torquay,Vanarama National League South,"â¬1,500 p/w",4321,"6'2""",80 kg,-,30/6/2026,,-,,-,0.33,15.97,-,0.65,0.98,1.15,86%,55,0.12,50%,6.64,3.73,6.46,16.56,85%,20.64,0.77,0.17,0.16,0.06,0.90,60%,2.35,1.42,0.38,11.64,0.62,18.36,6.6
- - -,,29234484,Jack Smith,ENG,,22,"DM, M (C)",Dartford,Vanarama National League South,â¬625 p/w,3144,"6'1""",77 kg,-,30/6/2026,,-,,-,0.07,2.36,-,1.17,1.26,2.55,83%,89,0.29,50%,1.75,12.68,9.99,7.64,90%,45.2,4.35,0.11,0.15,0.60,0.54,21%,0.80,0.17,0.07,-0.36,0.06,2.36,10.59
- - -,,29192118,Kai Woollard-Innocent,ENG,,23,D/WB (L),Havant & W,Vanarama National League South,â¬550 p/w,4507,"5'9""",71 kg,-,30/6/2026,,-,,-,0.01,0.4,-,1.22,2.04,2.26,84%,113,0.60,50%,2.64,12.56,11.06,13.88,86%,32.95,3.67,0.18,0.13,1.64,1.14,50%,0.08,0.04,0.01,-0.4,-,0.4,12.42
- - -,,90012441,Alex Kenyon,ENG,,31,"D (C), DM, M (C)",Curzon Ashton,Vanarama National League North,â¬450 p/w,4403,"5'11""",75 kg,-,30/6/2025,,-,,-,0.04,2.2,-,2.15,1.12,2.35,79%,115,0.39,50%,2.45,8.75,8.16,7.46,85%,40.74,4.6,0.04,0.06,0.02,0.18,9%,0.72,0.06,0.04,-2.2,-,2.2,8.54
- - -,,29152568,Ben Liddle,ENG,,25,M (C),Darlington,Vanarama National League North,â¬525 p/w,3950,"5'7""",75 kg,-,30/6/2024,,-,,-,0.13,5.55,-,0.98,1.78,1.39,78%,61,0.71,50%,2.53,7.27,13.24,12.39,85%,42.99,4.88,0.23,0.15,0.87,0.84,35%,1.23,0.43,0.13,-2.55,0.07,5.55,13.51
- - -,,28093272,Charlie Cooper,ENG,,27,"DM, M (C)",Yeovil,Vanarama National League South,â¬750 p/w,2090,"5'9""",73 kg,-,30/6/2025,,-,,-,0.07,1.72,-,1.59,1.38,1.94,75%,45,0.43,49%,1.94,11.41,8.83,6.98,88%,47.45,3.92,0.30,0.06,0.09,0.47,20%,0.86,0.17,0.07,-1.72,-,1.72,9.43
- - -,Frt,29222576,Yusifu Ceesay,ESP,GAM,29,M/AM (L),Hereford,Vanarama National League North,â¬400 p/w,3658,"6'2""",82 kg,-,30/6/2024,,-,,-,0.23,9.3,-,1.53,2.36,1.75,79%,71,0.49,49%,3.81,8.37,11.22,14.27,82%,23.96,2.34,0.17,0.18,1.06,2.80,43%,2.07,0.89,0.23,-0.3,0.22,9.3,11.05
- - -,Lst,89063403,Gold Omotayo,SUI,NGA,30,ST (C),Kidderminster,Vanarama National League,"â¬1,200 p/w",2052,"6'4""",89 kg,-,30/6/2025,,-,,-,0.27,6.17,-,0.61,0.83,0.53,67%,12,0.18,49%,6.05,1.45,6.23,21.62,87%,21.23,0.75,0.04,0.04,0.04,0.79,46%,2.85,1.32,0.34,1.23,0.39,7.77,6.45
- - -,Int,28095475,Jacob Berkeley-Agyepong,GRN,ENG,27,"M (LC), AM (L)",Maidstone,Vanarama National League South,â¬700 p/w,2480,"6'0""",69 kg,-,30/6/2024,,-,,-,0.0,0.11,-,1.56,2.90,2.25,79%,62,0.73,49%,2.07,5.55,10.42,18.98,83%,28.67,3.67,-,0.1,1.34,1.67,0%,0.07,0.00,0.0,-0.11,-,0.11,11.58
- - -,Req,37027600,Enzio Boldewijn,NED,SUR,31,M/AM (RL),Eastleigh,Vanarama National League,"â¬1,400 p/w",3003,"6'1""",76 kg,-,30/6/2025,,-,,-,0.08,2.81,-,1.5,1.68,2.22,83%,74,0.60,49%,3.24,5.3,10.55,21.76,80%,24.88,2.16,0.18,0.12,0.45,2.70,40%,1.05,0.42,0.08,-0.81,0.06,2.81,11.9
- - -,,29160404,Sam Fielding,ENG,,25,"D (C), DM, M (C)",Spennymoor,Vanarama National League North,â¬275 p/w,1051,"6'2""",75 kg,-,30/6/2025,,-,,-,0.11,1.24,-,0.69,1.63,1.37,70%,16,0.69,49%,2.23,9.42,8.65,9.16,86%,41.96,3.08,0.17,0.14,0.94,1.46,33%,0.77,0.26,0.11,0.76,0.17,1.24,10.79
- - -,Wnt,28060559,Callum Reilly,IRL,ENG,30,"DM, M (C)",Tamworth,Vanarama National League North,â¬230 p/w,3808,"6'1""",77 kg,-,30/6/2024,,-,,-,0.07,2.97,-,1.75,1.25,1.51,70%,64,0.35,49%,2.81,8.86,8.89,6.52,87%,37.91,4.09,0.07,0.09,0.09,0.40,44%,1.13,0.50,0.18,2.28,0.24,7.72,8.56
- - -,,28116915,Bivesh Gurung,ENG,NEP,22,"DM, M (C)",Maidstone,Vanarama National League South,â¬400 p/w,1424,"6'0""",77 kg,-,30/6/2024,,-,,-,0.05,0.86,-,1.01,1.20,2.02,76%,32,0.32,49%,2.91,10.11,8.91,9.29,89%,45.25,4.3,-,0.16,0.25,0.51,0%,0.76,0.00,0.05,-0.86,-,0.86,9.23
- - -,,29005307,Joe Partington,WAL,ENG,34,"D (RC), DM",St. Albans,Vanarama National League South,â¬650 p/w,3288,"6'2""",75 kg,-,30/6/2025,,-,,-,0.08,2.75,-,1.34,1.37,1.53,79%,56,0.60,49%,2.74,11.66,8.92,7.64,87%,43.44,4.38,0.08,0.04,0.27,0.71,25%,0.88,0.22,0.08,-2.75,-,2.75,9.85
- - -,Inj,29191771,Kian Ronan,GIB,ENG,23,D/WB (R),King's Lynn,Vanarama National League North,â¬575 p/w,1452,"5'9""",60 kg,-,30/6/2024,,-,,-,0.07,1.06,-,1.8,2.05,2.11,81%,34,0.43,49%,3.66,12.46,9.73,16.12,84%,33.66,3.47,0.12,0.09,0.62,2.23,22%,0.56,0.12,0.07,-1.06,-,1.06,14.07
- - -,,28059805,Luke Coulson,ENG,,30,M (R),Dartford,Vanarama National League South,â¬475 p/w,1520,"5'8""",70 kg,-,30/6/2026,,-,,-,0.12,1.95,-,0.95,1.18,2.07,92%,35,0.06,49%,3.43,5.68,10.6,15.99,84%,30.14,2.55,0.06,0.12,0.65,2.19,29%,1.42,0.41,0.12,1.05,0.18,1.95,12.08
- - -,,90069813,Lassana Mendes,ESP,GNB,31,"M (RC), AM (R)",Hereford,Vanarama National League North,â¬575 p/w,1697,"5'10""",77 kg,-,30/6/2024,,-,,-,0.25,4.7,-,1.7,2.02,2.76,80%,52,0.21,49%,4.40,9.18,12.52,14.32,85%,32.78,3.18,0.32,0.24,1.17,2.44,48%,2.12,1.01,0.25,-0.7,0.21,4.7,13.31
- - -,,29210000,Matty Williams,ENG,,23,D (C),Chester,Vanarama National League North,â¬350 p/w,1324,"6'3""",71 kg,-,30/6/2024,,-,,-,0.02,0.28,-,1.29,1.77,1.22,82%,18,0.54,48%,4.15,11.76,2.72,8.23,87%,54.04,5.44,-,0.01,0.07,0.07,20%,0.34,0.07,0.02,-0.28,-,0.28,6.73
- - -,Wnt,29178502,Daniel Martin,ENG,,24,D/WB (L),Torquay,Vanarama National League South,â¬575 p/w,2203,"5'8""",65 kg,-,30/6/2024,,-,,-,0.04,0.95,-,1.84,1.80,2.41,88%,59,0.86,48%,3.06,11.77,7.15,12.17,84%,36.28,4.62,0.25,0.22,0.53,0.78,23%,0.53,0.12,0.04,-0.95,-,0.95,14.26
- - -,,2000144017,Marshall Burke,ENG,,19,"DM, M (C)",South Shields,Vanarama National League North,â¬575 p/w,4021,"6'0""",69 kg,29/6/2024,30/6/2025,,-,,-,0.12,5.44,-,0.76,1.16,1.16,76%,52,0.36,48%,2.19,6.36,10.3,11.57,88%,54.26,5.22,0.31,0.3,0.98,0.67,30%,1.41,0.43,0.12,-2.44,0.07,5.44,9.65
- - -,Hol,28100985,Ollie Shenton,ENG,,26,M/AM (C),Chorley,Vanarama National League North,â¬575 p/w,3861,"5'9""",77 kg,-,30/6/2024,,-,,-,0.07,3.21,-,0.86,1.79,1.24,76%,53,0.42,48%,1.61,6.71,10.75,10.77,88%,53.01,5.1,0.19,0.16,0.84,1.54,36%,0.98,0.35,0.07,0.79,0.09,3.21,7.41
- - -,Wnt,29128950,Jordan Richards,ENG,,26,"DM, M (C)",Boston Utd,Vanarama National League North,â¬475 p/w,2875,"5'11""",70 kg,-,30/6/2024,,-,,-,0.08,2.57,-,1.31,1.47,1.94,76%,62,0.41,48%,2.16,8.55,9.64,6.45,89%,44.7,5.1,0.06,0.07,0.06,0.72,48%,0.85,0.41,0.08,0.43,0.09,2.57,7.17
- - -,Wnt,2000117899,Osman Foyo,SLE,NED,19,M/AM (C),Banbury,Vanarama National League North,â¬400 p/w,2724,"6'1""",81 kg,29/6/2024,30/6/2024,,-,,-,0.11,3.23,-,1.22,1.22,1.49,75%,45,0.30,48%,2.97,6.57,11.04,7.43,87%,34.86,2.64,0.07,0.1,0.20,0.89,38%,1.22,0.46,0.11,-1.23,0.07,3.23,6.18
- - -,Req,28029361,Jake Taylor,WAL,ENG,32,"DM, M (C)",Eastleigh,Vanarama National League,"â¬1,700 p/w",2139,"5'10""",77 kg,-,30/6/2025,,-,,-,0.09,2.25,-,1.43,1.18,1.39,70%,33,0.67,48%,1.60,11.87,9.13,7.45,89%,45.06,3.91,0.08,0.1,0.08,0.25,25%,0.67,0.17,0.09,-1.25,0.04,2.25,10.39
- - -,Ctr,2000109168,Emmanuel Ilesanmi,ENG,,19,ST (C),Rushall,Vanarama National League North,,3856,"6'1""",89 kg,29/6/2024,-,,-,,-,0.37,15.89,-,0.61,0.86,0.89,73%,38,0.16,48%,8.19,4.27,5.39,6.07,83%,18.28,0.28,0.05,0.04,0.00,0.54,45%,2.66,1.19,0.46,2.16,0.51,19.84,5.37
- - -,,28085969,George Glendon,ENG,WAL,29,M (C),Chester,Vanarama National League North,â¬875 p/w,4365,"5'10""",64 kg,-,30/6/2024,,-,,-,0.13,6.1,-,0.66,1.22,2.33,84%,113,0.31,47%,2.49,7.77,9.61,8.23,89%,45.05,4.66,0.14,0.14,0.39,1.03,30%,1.57,0.47,0.13,-0.1,0.12,6.1,7.79
- - -,,2000144681,Engwau Oduka,ENG,,19,"D (C), DM, M (C)",King's Lynn,Vanarama National League North,â¬350 p/w,3395,"6'2""",81 kg,-,30/6/2025,,-,,-,0.04,1.59,-,1.86,1.59,2.28,80%,86,0.56,47%,2.94,10.97,7.56,7.29,87%,44.32,3.95,-,0.05,0.03,0.48,33%,0.56,0.19,0.04,-1.59,-,1.59,9.04
- - -,Lst,28100363,Dan Ward,ENG,,26,M (C),Oldham,Vanarama National League,"â¬1,200 p/w",1461,"5'10""",72 kg,-,30/6/2025,,-,,-,0.04,0.62,-,1.11,2.22,2.59,93%,42,0.49,47%,2.22,8.81,11.03,17.13,87%,37.82,3.51,0.18,0.13,0.92,1.36,75%,0.49,0.37,0.04,2.38,0.18,0.62,10.1
- - -,,29235189,Keziah Martin,BER,ENG,24,M (C),Boston Utd,Vanarama National League North,â¬425 p/w,1621,"5'10""",78 kg,-,30/6/2025,,-,,-,0.11,2.04,-,0.56,1.67,1.89,77%,34,0.72,47%,2.39,8.44,12.83,9.88,87%,51.63,8.0,0.44,0.22,0.39,0.89,23%,2.17,0.50,0.11,-1.04,0.06,2.04,8.94
- - -,,28059635,David Morgan,NIR,,29,"DM, M (C)",Southport,Vanarama National League North,â¬475 p/w,3833,"5'8""",67 kg,-,30/6/2024,,-,,-,0.04,1.64,-,1.24,1.15,2.23,72%,95,0.42,46%,1.95,7.87,10.1,7.49,86%,39.8,4.58,0.16,0.14,0.87,0.33,33%,0.70,0.23,0.04,0.36,0.05,1.64,5.87
- - -,,29233758,Billy Fewster,ENG,,20,AM (L),Alfreton,Vanarama National League North,â¬475 p/w,2965,"5'10""",72 kg,-,30/6/2025,,-,,-,0.2,6.57,-,1.18,1.94,2.7,86%,89,0.33,46%,3.70,8.44,9.77,14.63,80%,24.01,2.88,0.36,0.26,0.97,3.85,43%,1.70,0.73,0.2,2.43,0.27,6.57,12.51
- - -,,29217934,Finley Shrimpton,ENG,,21,"DM, M (C)",Scunthorpe,Vanarama National League North,â¬575 p/w,2017,"5'9""",75 kg,-,30/6/2025,,-,,-,0.07,1.59,-,1.47,0.80,1.29,76%,29,0.27,46%,2.14,6.43,7.41,7.45,89%,51.54,4.73,0.09,0.13,0.45,0.58,33%,1.07,0.36,0.07,2.41,0.18,1.59,8.25
- - -,,2000125526,Finley Barbrook,ENG,,19,"DM, M (C)",Tonbridge,Vanarama National League South,â¬350 p/w,3218,"6'0""",68 kg,29/6/2024,30/6/2025,,-,,-,0.04,1.54,-,1.65,1.26,1.73,74%,62,0.48,46%,1.62,13.62,9.23,5.48,87%,42.96,3.47,0.06,0.13,0.11,0.31,10%,0.59,0.06,0.04,-0.54,0.03,1.54,9.48
- - -,,29163921,Tom Clifford,ENG,,24,D/WB (L),King's Lynn,Vanarama National League North,"â¬1,000 p/w",3307,"5'8""",70 kg,-,30/6/2025,,-,,-,0.06,2.16,-,1.55,2.78,2.26,80%,83,0.52,46%,2.72,11.97,8.27,13.5,85%,35.13,3.62,0.24,0.16,0.93,1.77,50%,0.71,0.35,0.06,1.84,0.11,2.16,13.77
- - -,,29141057,Lloyd Humphries,WAL,,26,DM,Weston-super-Mare,Vanarama National League South,â¬375 p/w,2316,"5'9""",70 kg,-,30/6/2025,,-,,-,0.06,1.43,-,1.2,1.55,1.2,76%,31,0.39,46%,1.79,14.57,9.56,5.09,87%,44.69,4.0,0.08,0.22,0.12,0.58,15%,0.78,0.12,0.06,0.57,0.08,1.43,9.29
- - -,,90091780,Connor Woods,ENG,,26,AM (R),Warrington,Vanarama National League North,â¬350 p/w,3734,"5'8""",68 kg,-,30/6/2024,,-,,-,0.22,9.32,-,1.52,1.78,2.72,85%,113,0.43,45%,3.40,8.7,12.49,14.68,84%,26.37,3.18,0.24,0.28,1.37,3.35,36%,1.83,0.65,0.22,-2.32,0.17,9.32,12.2
- - -,,2000144685,Josh Home,ENG,,18,"DM, M (C)",Weston-super-Mare,Vanarama National League South,â¬475 p/w,3211,"5'9""",74 kg,29/6/2024,30/6/2025,,-,,-,0.07,2.53,-,1.23,1.29,1.51,75%,54,0.34,45%,1.77,14.91,8.77,6.75,89%,47.93,4.26,0.08,0.11,0.20,0.48,17%,0.67,0.11,0.07,-1.53,0.03,2.53,8.6
- - -,,28127070,Hayden Lindley,ENG,,21,"DM, M (C)",Darlington,Vanarama National League North,â¬850 p/w,1534,"6'0""",70 kg,-,30/6/2025,,-,,-,0.06,1.07,-,1.58,1.17,1.94,69%,33,0.18,45%,1.58,8.04,11.26,6.75,89%,48.17,5.75,0.23,0.1,0.06,0.18,67%,0.70,0.47,0.06,-0.07,0.06,1.07,11.26
- - -,,2000108081,MatÃºÅ¡ HolÃ­Äek,SVK,ENG,19,AM (L),South Shields,Vanarama National League North,â¬575 p/w,3649,"6'0""",74 kg,29/6/2024,30/6/2025,,-,,-,0.24,9.89,-,0.62,1.48,1.55,94%,63,0.35,45%,3.26,6.24,10.98,12.85,84%,30.98,2.84,0.20,0.19,0.59,3.23,45%,2.27,1.01,0.36,-0.66,0.35,14.66,11.64
- - -,,2000124240,Hayden Pickard,ENG,,18,D/WB (L),Boston Utd,Vanarama National League North,â¬475 p/w,2665,"5'10""",72 kg,29/6/2024,30/6/2026,,-,,-,0.02,0.61,-,1.55,2.36,2.2,87%,65,0.98,45%,2.33,12.9,9.62,14.25,81%,36.91,7.02,0.03,0.1,0.91,1.86,60%,0.17,0.10,0.02,0.39,0.03,0.61,15.16
- - -,,29233076,Osazee Aghatise,NGA,ENG,21,M (C),South Shields,Vanarama National League North,â¬575 p/w,3732,"5'11""",63 kg,-,30/6/2025,,-,,-,0.21,8.58,-,1.06,1.64,1.4,77%,58,0.51,45%,2.63,6.46,9.84,8.44,89%,44.37,2.94,0.17,0.15,0.29,1.09,33%,2.44,0.80,0.21,3.42,0.29,8.58,9.89
- - -,,2000189964,Michael Adu-Poku,GHA,ENG,18,ST (C),Welling,Vanarama National League South,â¬825 p/w,1054,"6'2""",81 kg,30/6/2024,30/6/2025,,-,,-,0.18,2.05,-,0.94,0.94,0.94,85%,11,0.34,45%,4.95,1.02,5.21,19.3,87%,19.9,0.85,0.09,0.03,0.17,1.37,53%,1.62,0.85,0.18,3.95,0.51,2.05,5.72
