UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Hdr %,Hdrs  W/90,Tck R,Hdr %,Hdrs W/90,Int/90,Tck R,Tck/90,Blk/90,Poss Won/90,Pas %Poss Lost/90
29219537,Brad Nicholson,"D (LC), WB (L)",26,"6'2""",0,325,Balanced,30/6/2025,"3,576",Boston Utd,Vanarama National League North,2,50,84%,62.0,78.0,13.69,10.17,4.58,62.0,0.0,78.0,62.0,3.35,1.76,78.0,2.09,0.45,10.17,
2000130212,Jayden Barber,D/WB (R),19,"6'3""",0,475,Fairly Determined,30/6/2025,"1,912",Worthing,Vanarama National League,2,50,85%,64.0,80.0,15.96,12.43,5.7,64.0,0.0,80.0,64.0,4.10,1.98,80.0,2.21,0.19,12.43,
2000207269,Harvey Fletcher,"DM, M (C), AM (R)",18,"5'3""",0,275,Balanced,30/6/2025,"1,657",Hyde,English Northern Premier League Premier Division,2,50,72%,75.0,74.0,0.33,0.6,0.33,75.0,0.0,74.0,75.0,0.33,0.16,74.0,2.17,-,0.6,
2000055713,Michael Stone,M (C),20,"5'9""",0,475,,30/6/2025,"3,150",Mickleover,English Isthmian League North Division,2,50,72%,63.0,75.0,0.11,0.31,0.2,63.0,0.0,75.0,63.0,0.14,0.06,75.0,1.97,-,0.31,
29160404,Sam Fielding,"D (RC), DM, M (C)",26,"6'2""",0,275,Balanced,30/6/2025,"2,535",Spennymoor,Vanarama National League North,2,44,88%,57.0,71.0,8.17,9.73,5.11,57.0,0.0,71.0,57.0,2.45,1.38,71.0,1.85,0.50,9.73,
2000135239,Edward Gyamfi,"D (R), DM, M (C)",21,"5'10""",0,325,Balanced,30/6/2025,"3,838",Tamworth,Vanarama National League North,2,53,87%,62.0,73.0,6.64,8.82,3.05,62.0,0.0,73.0,62.0,2.16,1.27,73.0,1.45,0.35,8.82,
28099015,Ben Pollock,"D (C), DM, M (C)",27,"6'1""",0,475,Balanced,30/6/2025,"3,237",Spennymoor,Vanarama National League North,2,44,79%,71.0,80.0,9.87,12.85,3.53,71.0,0.0,80.0,71.0,6.34,0.97,80.0,0.89,0.36,12.85,
2002083560,Yusuf Ulusoy,D (L),25,"5'10""",0,300,Light-Hearted,30/6/2025,"1,438",Leamington,Vanarama National League North,2,52,82%,62.0,82.0,11.33,14.65,4.69,62.0,0.0,82.0,62.0,4.76,2.07,82.0,2.88,1.13,14.65,
29226266,Luca Murphy,D (C),23,"6'4""",0,475,Balanced,30/6/2025,"2,031",Blyth,Vanarama National League North,2,69,90%,84.0,68.0,8.11,12.94,6.51,84.0,0.0,68.0,84.0,7.71,0.97,68.0,0.58,0.80,12.94,
2000042595,Jack Leckie,D (C),21,"6'6""",0,0,,-,"2,433",Warrington,Vanarama National League North,2,47,73%,64.0,74.0,11.28,13.76,3.33,64.0,0.0,74.0,64.0,5.59,1.29,74.0,1.37,0.81,13.76,
2000052149,Harvey Sutcliffe,D (R),21,"5'9""",0,0,,-,"2,006",Penybont,JD Cymru Premier,2,50,85%,61.0,91.0,14.18,11.93,5.7,61.0,0.0,91.0,61.0,3.77,1.48,91.0,2.29,0.58,11.93,
89061032,Jordan Cullinane-Liburd,D (C),29,"6'3""",0,0,,-,"3,501",Tamworth,Vanarama National League North,2,53,81%,83.0,71.0,14.32,15.5,4.22,83.0,0.0,71.0,83.0,8.71,1.47,71.0,1.05,0.46,15.5,
2000207729,Harvey Warren,D (RC),21,"6'1""",0,0,Balanced,-,"1,134",Leamington,Vanarama National League North,2,52,83%,71.0,72.0,9.92,14.37,3.17,71.0,0.0,72.0,71.0,6.51,1.83,72.0,1.03,0.32,14.37,
28048010,Matt Dolan,"D (C), DM",32,"5'9""",0,325,,30/6/2025,"3,273",Scarborough Athletic,Vanarama National League,2,50,86%,63.0,73.0,3.74,15.73,4.12,63.0,0.0,73.0,63.0,4.65,1.18,73.0,0.99,0.41,15.73,
