Rec,Inf,UID,Name,Personality,Age,Position,Preferred Foot,Height,Min WD,Club,Division,Wage,Expires,Transfer Value,Mins,Cln/90,Con/90,xA/90,xA,Mins/Gl,xG-OP,xG/90,Gls,Conc,Gls/90,NP-xG,NP-xG/90,Pens Saved,Pens Saved Ratio,Red,Saves/90,Aer A/90,Asts/90,Blk/90,Clr/90,Conv %,Crs A/90,Cr C/A,Cr C/90,Distance,Dist/90,Drb/90,xGP/90,xG/shot,xGP,xSv %,Hdrs L/90,Hdrs W/90,Sprints/90,Hdr %,Itc,Int/90,Hdrs,K Hdrs/90,K Pas,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Shots,ShT,Shots Outside Box/90,Shts Blckd,Shts Blckd/90,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,Off,Drb,Cr A,Clear,Blk,Hdrs A,Goals Outside Box,Best Pos,Clean Sheets,Sv %,Svh,Svp,Svt
- -  -,Inj,29219537,Brad Nicholson,Balanced,27,"D (LC), WB (L)",Left Only,"6'2""","€1,900 p/w",Leiston,English Southern League Premier Central,N/A,-,€0,206,-,-,0.16,0.36,206.00,0.52,0.21,1,-,0.44,0.48,0.21,-,-,1,-,-,-,-,0.00,33%,0.00,-,0.00,0.0km,0.0km,-,-,0.16,-,-,-,-,0.00,-,0,-,-,0.00,0,78%,60,26.21,47,20.53,0.00,0.00,0,0.00,0,0.00,0,0.00,3,1,0.00,0,0.00,0.44,33%,1.31,100%,7,7,3.06,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- -  -,,29217528,Jonny Ngandu,Fairly Professional,24,"M (C), AM (RLC)",Left,"5'9""",€775 p/w,Lancaster,English Northern Premier League Premier Division,€550 p/w,30/6/2026,€0 - €28K,"2,260",-,-,0.20,4.91,753.33,-0.09,0.12,3,-,0.12,3.09,0.12,-,-,0,-,6.33,0.12,0.28,0.92,10%,11.07,5%,0.88,278.6km,11.1km,2.79,-,0.10,-,-,4.90,1.43,8.64,23%,34,1.35,36,0.00,52,86%,747,29.75,639,25.45,13.78,6.29,217,8.64,59,2.35,68,2.71,31,15,0.48,0,0.00,0.60,48%,1.23,91%,55,50,1.99,5,70,278,23,7,159,0,AM (L),-,-,-,-,-
- -  -,FrA,90057559,Alex Newby,,30,"M (R), AM (RLC)",Right,"5'8""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,Ctr,2000068477,Áurio Neto-Teixeira,Balanced,23,"DM, M/AM (C)",Right,"5'3""","€1,000 p/w",Hereford,Vanarama National League North,€575 p/w,-,€0,"1,194",-,-,0.08,1.01,-,-0.68,0.05,0,-,-,0.68,0.05,-,-,1,-,4.07,0.08,0.38,1.43,-,2.26,9%,0.15,174.0km,13.1km,0.90,-,0.06,-,-,3.47,0.60,9.05,15%,27,2.04,8,0.00,18,80%,565,42.59,450,33.92,11.16,9.27,188,14.17,48,3.62,82,6.18,12,3,0.75,4,0.30,0.23,25%,0.90,64%,55,35,2.64,1,12,30,19,5,54,0,DM,-,-,-,-,-
- -  -,Lst,2000110565,Dan Myers,Balanced,24,D (LC),Left,"6'1""",€250 p/w,Spennymoor,Vanarama National League North,€240 p/w,30/6/2026,€1.5K,"1,025",-,-,0.09,0.97,"1,025.00",-0.43,0.13,1,-,0.09,1.43,0.13,-,-,0,-,10.54,-,0.35,1.67,8%,0.88,22%,0.18,130.2km,11.4km,-,-,0.12,-,-,2.99,7.55,5.71,72%,19,1.67,86,1.23,8,78%,514,45.13,403,35.39,10.10,12.12,34,2.99,15,1.32,43,3.78,12,6,0.09,1,0.09,0.53,50%,1.05,94%,16,15,1.32,2,0,10,19,4,120,0,D (C),-,-,-,-,-
- -  -,,74048740,Iwan Murray,Balanced,25,M/AM (C),Right Only,"5'5""","€1,100 p/w",Chester,Vanarama National League North,€500 p/w,30/6/2026,€40K,551,-,-,0.26,1.62,137.75,0.91,0.50,4,-,0.65,2.29,0.37,-,-,0,-,6.21,0.16,0.33,0.16,31%,2.61,12%,0.49,88.5km,14.5km,0.98,-,0.24,-,-,5.88,0.33,10.13,5%,17,2.78,2,0.00,14,83%,243,39.69,201,32.83,12.58,6.21,57,9.31,15,2.45,15,2.45,13,5,1.31,0,0.00,0.82,38%,2.12,67%,12,8,1.31,1,6,16,1,2,38,1,M (C),-,-,-,-,-
- -  -,,2000109060,George Murray-Jones,,21,GK,Right,"6'2""",-,Leamington,Vanarama National League North,€400 p/w,30/6/2026,Unknown,"3,510",0.33,1.54,0.00,0.19,-,0.00,0.00,0,60,-,0.00,0.00,2,33%,0,2,-,-,-,11.74,-,-,-,-,172.1km,4.4km,-,-0.05,0.00,-1.99,81%,-,-,0.15,-,28,0.72,-,0.00,0,42%,702,18.00,293,7.51,13.54,6.36,0,0.00,0,0.00,42,1.08,0,-,-,-,-,-,-,-,33%,6,2,0.05,0,0,-,-,-,-,-,GK,13,68%,45,40,28
- -  -,Inj,29226266,Luca Murphy,Balanced,24,D (C),Right,"6'4""",€600 p/w,Cardiff Met Uni,JD Cymru Premier,N/A,-,€0,"2,055",-,-,0.04,0.86,685.00,1.71,0.06,3,-,0.13,1.29,0.06,-,-,0,-,9.55,-,0.83,1.40,19%,0.04,-,0.00,250.2km,11.0km,-,-,0.08,-,-,2.89,6.66,4.16,70%,48,2.10,152,0.92,7,82%,"1,147",50.23,945,41.39,3.99,14.58,65,2.85,20,0.88,78,3.42,16,4,0.44,27,1.18,0.18,25%,0.70,92%,24,22,0.96,0,0,1,32,19,218,0,D (C),-,-,-,-,-
- -  -,,28093604,Toby Mullarkey,Balanced,29,D (RC),Right Only,"6'2""",N/A,Farsley,Vanarama National League North,€220 p/w,30/6/2026,€0 - €24K,"3,002",-,-,0.03,0.92,"1,501.00",-1.07,0.09,2,-,0.06,3.07,0.09,-,-,0,-,12.20,-,1.02,1.29,5%,2.49,13%,0.33,409.1km,12.3km,0.45,-,0.08,-,-,3.39,8.81,7.76,72%,69,2.07,294,1.29,18,81%,"1,617",48.48,"1,308",39.21,11.15,16.88,195,5.85,73,2.19,152,4.56,39,14,0.18,15,0.45,0.42,36%,1.17,90%,60,54,1.62,2,15,83,43,34,407,0,D (C),-,-,-,-,-
- -  -,Ctr,29127859,Frank Mulhern,,28,"AM (L), ST (C)",Right Only,"5'11""",-,Coalville,English Southern League Premier Central,N/A,-,Unknown,90,-,-,0.00,0.00,45.00,1.62,0.38,2,-,2.00,0.38,0.38,-,-,0,-,-,-,-,0.00,33%,0.00,-,0.00,0.0km,0.0km,-,-,0.06,-,-,-,-,0.00,-,0,-,-,0.00,0,70%,20,20.00,14,14.00,0.00,0.00,0,0.00,0,0.00,0,0.00,6,4,0.00,0,0.00,4.00,67%,6.00,-,0,-,-,0,0,0,0,0,0,0,ST (C),-,-,-,-,-
- -  -,,2000142145,Harry Moss,Fairly Professional,21,GK,Right,"6'4""",€950 p/w,Radcliffe,Vanarama National League North,€500 p/w,30/6/2026,€6K - €18K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,,2000132687,Kobei Moore,,21,"AM (L), ST (C)",Right,"6'2""",-,Boreham Wood,Vanarama National League,€675 p/w,30/6/2028,Unknown,396,-,-,0.04,0.19,132.00,0.67,0.53,3,-,0.68,2.33,0.53,-,-,0,-,8.18,-,-,0.00,20%,2.73,16%,0.45,53.5km,12.2km,2.73,-,0.16,-,-,4.32,3.86,11.14,47%,7,1.59,17,0.00,3,85%,123,27.95,104,23.64,15.45,4.09,37,8.41,11,2.50,5,1.14,15,7,0.68,0,0.00,1.59,47%,3.41,86%,7,6,1.36,4,12,12,0,0,36,0,ST (C),-,-,-,-,-
- -  -,,2000085094,Kian Moore,Fairly Determined,22,GK,Right Only,"6'2""",€550 p/w,U.C.D.,Irish Premier Division,€210 p/w,30/11/2026,€0 - €65K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,,2000182804,Ethan Moore,,21,M/AM (R),Unknown,"6'1""",N/A,Spennymoor,Vanarama National League North,€450 p/w,30/6/2026,Unknown,"2,608",-,-,0.20,5.89,217.33,4.45,0.26,12,-,0.41,7.55,0.26,-,-,0,-,10.11,0.31,0.17,1.38,18%,8.21,11%,1.00,377.1km,13.0km,3.69,-,0.12,-,-,5.87,4.24,12.70,42%,48,1.66,123,0.03,44,79%,881,30.40,700,24.16,15.32,8.90,300,10.35,86,2.97,70,2.42,65,33,0.69,2,0.07,1.14,51%,2.24,83%,84,70,2.42,9,107,238,40,5,293,1,"M/AM (RL), ST (RL)",-,-,-,-,-
- -  -,,28099481,Luke Molyneux,,27,AM (RL),Unknown,"5'11""",N/A,Hartlepool,Vanarama National League,€700 p/w,30/6/2026,Unknown,"1,034",-,-,0.10,1.11,-,-0.48,0.04,0,-,-,0.48,0.04,-,-,0,-,6.88,0.09,0.52,0.70,-,5.05,27%,1.22,136.0km,11.8km,2.79,-,0.05,-,-,4.96,1.91,9.75,28%,21,1.83,22,0.00,13,85%,382,33.25,324,28.20,20.89,3.39,120,10.44,28,2.44,22,1.91,10,2,0.35,0,0.00,0.17,20%,0.87,85%,26,22,1.91,3,32,58,8,6,79,0,-,-,-,-,-,-
- -  -,FrA,28100208,Kairo Mitchell,,28,"AM (L), ST (C)",Right,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,Sct,29141059,Rollin Menayese,Balanced,28,"D (C), DM",Right Only,"6'3""",-,Dorking,Vanarama National League South,€425 p/w,30/6/2027,€9K - €95K,"1,541",-,-,0.02,0.32,770.50,-2.39,0.26,2,-,0.12,4.39,0.26,-,-,0,-,9.64,0.12,0.29,1.46,6%,0.35,16%,0.06,187.9km,11.0km,0.06,-,0.13,-,-,2.92,6.72,5.37,70%,22,1.28,115,0.76,11,82%,975,56.94,800,46.72,4.32,15.94,59,3.45,19,1.11,75,4.38,34,5,0.47,5,0.29,0.29,15%,1.99,57%,23,13,0.76,0,1,6,25,5,165,0,D (C),-,-,-,-,-
- -  -,Lst,28105661,Lewis McNall,,26,ST (C),Left Only,"5'11""",-,Spennymoor,Vanarama National League North,€400 p/w,30/6/2026,€2.5K,164,-,-,0.00,0.00,-,-0.79,0.43,0,-,-,0.79,0.43,-,-,0,-,18.11,-,1.10,0.00,-,0.55,-,0.00,24.5km,13.4km,1.65,-,0.40,-,-,17.01,1.10,8.23,6%,0,-,2,0.00,0,79%,28,15.37,22,12.07,9.33,2.74,10,5.49,4,2.20,0,0.00,2,0,0.00,1,0.55,0.00,0%,1.10,100%,1,1,0.55,3,3,1,0,2,33,0,ST (C),-,-,-,-,-
- -  -,FrA,2000109688,Ethan McLeod,,21,"AM (RL), ST (C)",Right,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,Lst,29224247,Corey McKeown,Fairly Loyal,23,M/AM (RL),Right Only,"5'10""",€925 p/w,Spennymoor,Vanarama National League North,€725 p/w,30/6/2026,€16K,"1,390",-,-,0.34,5.25,231.67,2.54,0.22,6,-,0.39,3.46,0.22,-,-,0,-,9.91,0.39,0.39,1.36,18%,7.96,16%,1.29,215.8km,14.0km,4.79,-,0.10,-,-,8.29,1.62,15.47,16%,51,3.30,25,0.00,33,82%,502,32.50,412,26.68,15.15,9.84,190,12.30,44,2.85,49,3.17,34,15,1.29,1,0.06,0.97,44%,2.20,81%,31,25,1.62,3,74,123,21,6,153,2,AM (R),-,-,-,-,-
- -  -,Wnt,2000216928,Howard McKenna,,18,"DM, M/AM (C)",Right,"5'10""",-,Warrington,Vanarama National League North,N/A,-,€0,408,-,-,0.06,0.26,408.00,0.44,0.12,1,-,0.22,0.56,0.12,-,-,0,-,3.31,-,-,0.44,14%,1.76,33%,0.66,60.2km,13.3km,1.76,-,0.08,-,-,1.76,1.54,11.03,47%,9,1.99,7,0.00,4,87%,218,48.09,189,41.69,13.46,9.26,46,10.15,11,2.43,14,3.09,7,1,1.10,0,0.00,0.22,14%,1.54,90%,10,9,1.99,1,8,8,2,0,15,0,M (C),-,-,-,-,-
- -  -,,29217667,Will McGowan,Spirited,23,"DM, M/AM (C)",Left Only,"5'7""","€1,300 p/w",Blyth,Vanarama National League North,€500 p/w,30/6/2026,€1.5K - €12K,"2,745",-,-,0.33,9.96,343.12,0.15,0.26,8,-,0.26,7.85,0.26,-,-,0,-,3.25,0.43,0.26,0.52,17%,4.13,31%,1.31,398.5km,13.1km,1.38,-,0.17,-,-,2.66,0.59,8.56,18%,30,0.98,18,0.00,81,87%,"1,838",60.26,"1,591",52.16,11.57,4.79,327,10.72,90,2.95,202,6.62,47,18,0.72,1,0.03,0.59,38%,1.54,83%,59,49,1.61,6,42,126,16,8,99,1,M (C),-,-,-,-,-
- -  -,Loa,2002142699,Charlie McGorrigan,Resolute,17,M/AM (C),Right Only,"5'9""",€275 p/w,Darlington,Vanarama National League North,€6 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,,2000202095,Cole McGhee,Balanced,20,D (RC),Left,"5'11""",€550 p/w,Buxton,Vanarama National League North,€200 p/w,30/6/2026,€500 - €6K,"3,136",-,-,0.07,2.44,"3,136.00",-1.05,0.06,1,-,0.03,2.05,0.06,-,-,0,-,8.47,0.09,0.43,1.23,5%,0.60,8%,0.14,373.6km,10.7km,0.09,-,0.11,-,-,1.92,6.54,3.73,77%,51,1.46,228,0.57,22,85%,"1,771",50.83,"1,514",43.45,7.58,14.09,78,2.24,27,0.77,150,4.30,19,9,0.03,13,0.37,0.26,47%,0.55,79%,38,30,0.86,2,3,21,43,15,295,0,D (R),-,-,-,-,-
- -  -,,29233888,Matty McDonald,Fairly Determined,23,M/AM (RLC),Right,"6'4""",-,Warrington,Vanarama National League North,€500 p/w,30/6/2026,€0 - €35K,"2,958",-,-,0.09,2.91,493.00,0.68,0.16,6,-,0.18,5.32,0.16,-,-,0,-,4.66,0.09,0.52,1.28,12%,5.29,10%,0.52,401.4km,12.2km,1.13,-,0.10,-,-,2.71,1.95,12.38,42%,53,1.61,64,0.30,44,83%,"1,257",38.25,"1,042",31.70,10.13,7.61,296,9.01,84,2.56,128,3.89,52,19,0.82,6,0.18,0.58,37%,1.58,76%,78,59,1.80,7,37,174,42,17,153,2,AM (C),-,-,-,-,-
- -  -,,2000285687,Adam McCoy,,18,AM (C),Right,"5'8""",-,Coalville,English Southern League Premier Central,€350 p/w,30/6/2026,Unknown,"2,880",-,-,0.00,0.10,"1,440.00",-5.19,0.22,2,-,0.06,7.19,0.22,-,-,0,-,-,0.19,-,0.00,4%,0.00,-,0.00,0.0km,0.0km,-,-,0.13,-,-,-,-,0.00,-,0,-,-,0.00,0,72%,640,20.00,463,14.47,0.00,0.00,0,0.00,0,0.00,0,0.00,57,20,0.00,0,0.00,0.62,35%,1.78,64%,59,38,1.19,0,0,0,0,0,0,0,AM (C),-,-,-,-,-
- -  -,FrA,90091457,Josh March,,28,"AM (R), ST (C)",Right,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,Lst,2000055470,Emmanuel Maja,Balanced,24,"DM, M (C)",Right Only,"5'10""",€925 p/w,Peterborough Sports,Vanarama National League North,€275 p/w,30/6/2026,€2.5K,477,-,-,0.05,0.29,238.50,1.68,0.06,2,-,0.38,0.32,0.06,-,-,0,-,6.42,0.19,0.75,3.21,22%,1.70,-,0.00,79.7km,15.0km,1.13,-,0.04,-,-,3.02,3.40,11.51,53%,6,1.13,18,0.57,5,86%,306,57.74,262,49.43,11.51,10.19,55,10.38,18,3.40,30,5.66,9,3,1.51,2,0.38,0.57,33%,1.70,76%,29,22,4.15,0,6,9,17,4,34,2,M (C),-,-,-,-,-
- -  -,Wnt,29120439,Laurence Maguire,,28,D (LC),Left Only,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,,2000191774,Wellity Lucky,,20,D (RC),Right Only,"6'2""",-,Forest Green,Vanarama National League,"€1,000 p/w",30/6/2028,Unknown,"2,207",-,-,0.22,5.35,"1,103.50",-1.83,0.16,2,-,0.08,3.83,0.16,-,-,1,-,7.71,0.20,0.86,1.96,8%,3.22,14%,0.45,289.9km,11.8km,0.33,-,0.15,-,-,2.32,5.38,13.25,70%,45,1.84,132,0.90,22,86%,"1,208",49.26,"1,044",42.57,11.79,16.92,163,6.65,36,1.47,121,4.93,26,5,0.41,11,0.45,0.20,19%,1.06,78%,46,36,1.47,1,8,79,48,21,189,0,D (C),-,-,-,-,-
- -  -,Loa,2002140374,James Lucas,Balanced,18,GK,Right Only,"6'4""",-,Oxford City,Vanarama National League North,€6 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,FrA,28083035,Matt Lowe,,29,"D/WB/M/AM (R), ST (C)",Right,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,Ask,2002081032,Jordan Loughman,,18,D/WB (R),Right,"5'10""",€220 p/w,Aberystwyth,JD Cymru North,€110 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,FrA,28100764,Ryan Loft,,28,ST (C),Right,"6'3""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,FrA,29233532,Kieran Lloyd,,23,D/WB (R),Right,"5'9""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,,28127070,Hayden Lindley,Fairly Determined,23,"D (C), DM, M (C)",Right,"6'0""","€1,100 p/w",Darlington,Vanarama National League North,"€1,100 p/w",30/6/2026,€0 - €22K,"2,236",-,-,0.05,1.15,"2,236.00",0.49,0.02,1,-,0.04,0.51,0.02,-,-,0,-,6.44,0.08,0.44,1.57,8%,0.36,-,0.04,305.8km,12.3km,0.28,-,0.04,-,-,2.90,3.54,9.42,55%,27,1.09,88,0.48,18,85%,"1,157",46.57,981,39.49,8.33,9.14,216,8.69,46,1.85,105,4.23,13,3,0.36,9,0.36,0.12,23%,0.52,70%,61,43,1.73,0,7,9,39,11,160,1,DM,-,-,-,-,-
- -  -,Ctr,28005571,Michael Liddle,,36,D (L),Left Only,"5'10""",-,St. Ives,English Southern League Premier Central,N/A,-,Unknown,284,-,-,0.11,0.34,-,-0.02,0.01,0,-,-,0.02,0.01,-,-,0,-,-,-,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.02,-,-,-,-,0.00,-,0,-,-,0.00,0,59%,80,25.35,47,14.89,0.00,0.00,0,0.00,0,0.00,0,0.00,1,0,0.00,0,0.00,0.00,0%,0.32,100%,8,8,2.54,0,0,0,0,0,0,0,D (L),-,-,-,-,-
- -  -,Wnt,28111064,Alfie Lewis,,26,"DM, M/AM (C)",Right,"5'7""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,,29233762,Sam Leverett,Fairly Sporting,23,"DM, M (LC)",Left,"5'9""",€500 p/w,Farsley,Vanarama National League North,€400 p/w,30/6/2026,€0 - €28K,"2,873",-,-,0.10,3.16,957.67,0.54,0.08,3,-,0.09,2.46,0.08,-,-,0,-,4.98,0.19,0.60,1.97,14%,2.29,20%,0.44,391.0km,12.2km,0.53,-,0.12,-,-,3.07,1.91,7.17,38%,52,1.63,61,0.09,39,87%,"1,706",53.44,"1,483",46.46,9.71,10.62,368,11.53,107,3.35,194,6.08,21,7,0.47,8,0.25,0.22,33%,0.66,76%,166,126,3.95,0,17,73,63,19,159,2,M (C),-,-,-,-,-
- -  -,Inj,29229004,Jake Leake,Balanced,22,"D (LC), WB (L)",Left,"6'2""","€1,000 p/w",Curzon Ashton,Vanarama National League North,€300 p/w,30/6/2026,€0 - €24K,"2,963",-,-,0.17,5.71,"2,963.00",-0.46,0.04,1,-,0.03,1.46,0.04,-,-,0,-,5.32,0.12,0.61,1.52,6%,9.84,16%,1.52,428.9km,13.0km,0.91,-,0.08,-,-,2.28,3.04,10.69,57%,81,2.46,100,0.36,68,85%,"1,146",34.81,971,29.49,12.09,11.42,273,8.29,80,2.43,100,3.04,18,4,0.43,5,0.15,0.12,22%,0.55,86%,71,61,1.85,5,30,324,50,20,175,0,D (L),-,-,-,-,-
- -  -,FrA,29165173,Jason Law,,26,"M (LC), AM (RLC), ST (C)",Left Only,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,FrA,29127995,Dan Lavercombe,,29,GK,Left Only,"6'3""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,FrA,29235578,Thierry Latty-Fairweather,,23,D/WB/M (L),Right,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (L),-,-,-,-,-
- -  -,Wnt,28127122,Katia Kouyaté,Fairly Determined,22,"AM (RL), ST (C)",Left Only,"6'0""",-,Salford,Sky Bet League One,€450 p/w,30/6/2026,€18K - €190K,54,-,-,-,0.00,-,-0.08,-,0,-,-,0.08,-,-,-,0,-,-,-,-,-,-,-,-,-,8.7km,-,-,-,0.04,-,-,-,-,-,38%,0,-,3,-,1,92%,13,-,12,-,-,-,4,-,1,-,1,-,2,1,-,0,-,-,50%,-,100%,1,1,-,0,0,2,1,0,8,0,AM (R),-,-,-,-,-
- -  -,,2000272055,Ethan Kos,Balanced,24,D (C),Left Only,"6'0""",€750 p/w,Curzon Ashton,Vanarama National League North,€350 p/w,30/6/2026,€500 - €3K,"1,743",-,-,0.00,0.02,-,-0.21,0.01,0,-,-,0.21,0.01,-,-,0,-,5.99,-,0.83,2.27,-,0.21,-,0.00,213.3km,11.0km,0.15,-,0.05,-,-,3.36,2.63,2.38,44%,27,1.39,51,0.41,1,82%,955,49.31,784,40.48,8.21,9.35,70,3.61,22,1.14,82,4.23,4,2,0.21,11,0.57,0.10,50%,0.21,67%,30,20,1.03,0,3,4,44,16,116,0,D (C),-,-,-,-,-
- -  -,FrA,31034601,Ricky Korboa,,29,"M/AM (RL), ST (C)",Right,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,FrA,29153889,Connor Kirby,,27,"DM, M (C)",Right,"5'7""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
